wazi,wspd,route,wangle,sail,speed,chrono,lon,lat
275,8.80,68,-153,GV Spi,5.82,2d 12h 52' 25",8° 05.310',41° 04.718'
275,8.79,68,-153,GV Spi,5.82,2d 12h 52' 37",8° 05.335',41° 04.726'
275,8.78,68,-153,GV Spi,5.82,2d 12h 53' 10",8° 05.401',41° 04.746'
275,8.78,68,-153,GV Spi,5.81,2d 12h 53' 23",8° 05.426',41° 04.753'
275,8.77,68,-153,GV Spi,5.81,2d 12h 53' 44",8° 05.467',41° 04.766'
275,8.76,68,-153,GV Spi,5.81,2d 12h 54' 17",8° 05.533',41° 04.786'
275,8.76,68,-153,GV Spi,5.80,2d 12h 54' 25",8° 05.549',41° 04.791'
275,8.75,68,-153,GV Spi,5.80,2d 12h 54' 54",8° 05.606',41° 04.808'
275,8.75,68,-153,GV Spi,5.79,2d 12h 55' 23",8° 05.663',41° 04.826'
275,8.74,68,-153,GV Spi,5.79,2d 12h 55' 27",8° 05.672',41° 04.828'
275,8.73,68,-153,GV Spi,5.79,2d 12h 56' 00",8° 05.737',41° 04.848'
275,8.73,68,-153,GV Spi,5.78,2d 12h 56' 25",8° 05.786',41° 04.863'
275,8.72,68,-153,GV Spi,5.78,2d 12h 56' 33",8° 05.802',41° 04.868'
275,8.71,68,-153,GV Spi,5.78,2d 12h 57' 06",8° 05.867',41° 04.888'
274,8.71,68,-154,GV Spi,5.69,2d 12h 57' 14",8° 05.884',41° 04.893'
274,8.71,68,-154,GV Spi,5.68,2d 12h 57' 27",8° 05.908',41° 04.900'
274,8.70,68,-154,GV Spi,5.68,2d 12h 57' 39",8° 05.932',41° 04.908'
274,8.69,68,-154,GV Spi,5.68,2d 12h 58' 12",8° 05.996',41° 04.927'
274,8.69,68,-154,GV Spi,5.67,2d 12h 58' 24",8° 06.020',41° 04.934'
274,8.68,68,-154,GV Spi,5.67,2d 12h 58' 49",8° 06.068',41° 04.949'
274,8.67,68,-154,GV Spi,5.67,2d 12h 59' 22",8° 06.132',41° 04.968'
274,8.67,68,-154,GV Spi,5.66,2d 12h 59' 26",8° 06.140',41° 04.971'
274,8.66,68,-154,GV Spi,5.66,2d 12h 59' 55",8° 06.196',41° 04.988'
278,8.92,68,-150,GV Spi,6.16,2d 13h 00' 04",8° 06.212',41° 04.993'
278,8.91,68,-150,GV Spi,6.16,2d 13h 00' 12",8° 06.229',41° 04.998'
278,8.91,68,-150,GV Spi,6.15,2d 13h 00' 37",8° 06.281',41° 05.014'
278,8.90,68,-150,GV Spi,6.15,2d 13h 00' 41",8° 06.290',41° 05.016'
278,8.89,68,-150,GV Spi,6.15,2d 13h 01' 06",8° 06.342',41° 05.032'
278,8.89,68,-150,GV Spi,6.14,2d 13h 01' 26",8° 06.386',41° 05.046'
278,8.88,68,-150,GV Spi,6.14,2d 13h 01' 35",8° 06.403',41° 05.051'
278,8.87,68,-150,GV Spi,6.14,2d 13h 02' 03",8° 06.463',41° 05.069'
278,8.87,68,-150,GV Spi,6.13,2d 13h 02' 16",8° 06.489',41° 05.077'
278,8.86,68,-150,GV Spi,6.13,2d 13h 02' 32",8° 06.524',41° 05.088'
278,8.85,68,-150,GV Spi,6.13,2d 13h 03' 01",8° 06.585',41° 05.106'
278,8.85,68,-150,GV Spi,6.12,2d 13h 03' 05",8° 06.593',41° 05.109'
278,8.84,68,-150,GV Spi,6.12,2d 13h 03' 30",8° 06.645',41° 05.125'
278,8.84,68,-150,GV Spi,6.11,2d 13h 03' 55",8° 06.697',41° 05.141'
278,8.83,68,-150,GV Spi,6.11,2d 13h 03' 59",8° 06.707',41° 05.143'
278,8.82,68,-150,GV Spi,6.11,2d 13h 04' 24",8° 06.757',41° 05.159'
278,8.82,68,-150,GV Spi,6.10,2d 13h 04' 45",8° 06.801',41° 05.172'
278,8.81,68,-150,GV Spi,6.10,2d 13h 04' 53",8° 06.819',41° 05.178'
278,8.80,68,-150,GV Spi,6.10,2d 13h 05' 22",8° 06.879',41° 05.196'
278,8.80,68,-150,GV Spi,6.09,2d 13h 05' 38",8° 06.913',41° 05.206'
278,8.79,68,-150,GV Spi,6.09,2d 13h 05' 51",8° 06.939',41° 05.214'
277,8.79,68,-151,GV Spi,6.00,2d 13h 06' 03",8° 06.964',41° 05.222'
277,8.78,68,-151,GV Spi,6.00,2d 13h 06' 20",8° 06.999',41° 05.232'
277,8.78,68,-151,GV Spi,5.99,2d 13h 06' 28",8° 07.015',41° 05.237'
277,8.77,68,-151,GV Spi,5.99,2d 13h 06' 49",8° 07.058',41° 05.250'
277,8.76,68,-151,GV Spi,5.98,2d 13h 07' 18",8° 07.117',41° 05.268'
277,8.75,68,-151,GV Spi,5.98,2d 13h 07' 47",8° 07.176',41° 05.286'
277,8.75,68,-151,GV Spi,5.97,2d 13h 08' 12",8° 07.227',41° 05.302'
277,8.74,68,-151,GV Spi,5.97,2d 13h 08' 16",8° 07.235',41° 05.304'
277,8.73,68,-151,GV Spi,5.97,2d 13h 08' 45",8° 07.294',41° 05.322'
277,8.73,68,-151,GV Spi,5.96,2d 13h 09' 05",8° 07.336',41° 05.335'
277,8.72,68,-151,GV Spi,5.96,2d 13h 09' 13",8° 07.353',41° 05.340'
277,8.71,68,-151,GV Spi,5.96,2d 13h 09' 42",8° 07.412',41° 05.358'
277,8.71,68,-151,GV Spi,5.95,2d 13h 09' 55",8° 07.437',41° 05.366'
277,8.70,68,-151,GV Spi,5.95,2d 13h 10' 11",8° 07.471',41° 05.376'
277,8.69,68,-151,GV Spi,5.95,2d 13h 10' 40",8° 07.530',41° 05.394'
277,8.69,68,-151,GV Spi,5.94,2d 13h 10' 48",8° 07.546',41° 05.399'
277,8.68,68,-151,GV Spi,5.94,2d 13h 11' 09",8° 07.588',41° 05.412'
277,8.67,68,-151,GV Spi,5.93,2d 13h 11' 38",8° 07.647',41° 05.430'
277,8.66,68,-151,GV Spi,5.93,2d 13h 12' 07",8° 07.706',41° 05.448'
277,8.66,68,-151,GV Spi,5.92,2d 13h 12' 32",8° 07.756',41° 05.463'
277,8.65,68,-151,GV Spi,5.92,2d 13h 12' 40",8° 07.772',41° 05.468'
277,8.64,68,-151,GV Spi,5.92,2d 13h 13' 09",8° 07.831',41° 05.486'
277,8.64,68,-151,GV Spi,5.91,2d 13h 13' 21",8° 07.856',41° 05.493'
277,8.63,68,-151,GV Spi,5.91,2d 13h 13' 38",8° 07.889',41° 05.504'
277,8.62,68,-151,GV Spi,5.91,2d 13h 14' 07",8° 07.948',41° 05.521'
277,8.62,68,-151,GV Spi,5.90,2d 13h 14' 15",8° 07.964',41° 05.526'
276,8.62,68,-152,GV Spi,5.81,2d 13h 14' 32",8° 07.998',41° 05.537'
276,8.61,68,-152,GV Spi,5.81,2d 13h 14' 36",8° 08.006',41° 05.539'
276,8.60,68,-152,GV Spi,5.81,2d 13h 15' 05",8° 08.063',41° 05.557'
276,8.60,68,-152,GV Spi,5.80,2d 13h 15' 09",8° 08.071',41° 05.559'
276,8.59,68,-152,GV Spi,5.80,2d 13h 15' 33",8° 08.121',41° 05.574'
276,8.58,68,-152,GV Spi,5.79,2d 13h 16' 02",8° 08.178',41° 05.591'
276,8.57,68,-152,GV Spi,5.79,2d 13h 16' 35",8° 08.243',41° 05.611'
276,8.57,68,-152,GV Spi,5.78,2d 13h 16' 56",8° 08.284',41° 05.624'
276,8.56,68,-152,GV Spi,5.78,2d 13h 17' 04",8° 08.300',41° 05.629'
276,8.55,68,-152,GV Spi,5.78,2d 13h 17' 33",8° 08.357',41° 05.646'
276,8.55,68,-152,GV Spi,5.77,2d 13h 17' 49",8° 08.389',41° 05.656'
276,8.54,68,-152,GV Spi,5.77,2d 13h 18' 02",8° 08.414',41° 05.663'
276,8.53,68,-152,GV Spi,5.77,2d 13h 18' 35",8° 08.479',41° 05.683'
276,8.53,68,-152,GV Spi,5.76,2d 13h 18' 44",8° 08.496',41° 05.688'
276,8.52,68,-152,GV Spi,5.76,2d 13h 19' 04",8° 08.536',41° 05.701'
276,8.51,68,-152,GV Spi,5.76,2d 13h 19' 33",8° 08.594',41° 05.718'
276,8.51,68,-152,GV Spi,5.75,2d 13h 19' 37",8° 08.602',41° 05.721'
276,8.50,68,-152,GV Spi,5.75,2d 13h 20' 02",8° 08.651',41° 05.735'
276,8.50,68,-152,GV Spi,5.74,2d 13h 20' 31",8° 08.708',41° 05.753'
276,8.49,68,-152,GV Spi,5.74,2d 13h 20' 35",8° 08.716',41° 05.755'
276,8.48,68,-152,GV Spi,5.74,2d 13h 21' 04",8° 08.772',41° 05.772'
276,8.48,68,-152,GV Spi,5.73,2d 13h 21' 25",8° 08.813',41° 05.785'
276,8.47,68,-152,GV Spi,5.73,2d 13h 21' 33",8° 08.829',41° 05.790'
276,8.46,68,-152,GV Spi,5.73,2d 13h 22' 02",8° 08.886',41° 05.807'
276,8.46,68,-152,GV Spi,5.72,2d 13h 22' 18",8° 08.917',41° 05.817'
276,8.45,68,-152,GV Spi,5.72,2d 13h 22' 35",8° 08.950',41° 05.827'
276,8.44,68,-152,GV Spi,5.72,2d 13h 23' 04",8° 09.007',41° 05.844'
276,8.44,68,-152,GV Spi,5.71,2d 13h 23' 12",8° 09.022',41° 05.849'
275,8.44,68,-153,GV Spi,5.62,2d 13h 23' 16",8° 09.031',41° 05.851'
275,8.43,68,-153,GV Spi,5.62,2d 13h 23' 33",8° 09.062',41° 05.861'
275,8.42,68,-153,GV Spi,5.62,2d 13h 24' 06",8° 09.126',41° 05.880'
275,8.42,68,-153,GV Spi,5.61,2d 13h 24' 10",8° 09.133',41° 05.882'
275,8.41,68,-153,GV Spi,5.61,2d 13h 24' 34",8° 09.181',41° 05.897'
275,8.41,68,-153,GV Spi,5.60,2d 13h 25' 03",8° 09.237',41° 05.914'
275,8.40,68,-153,GV Spi,5.60,2d 13h 25' 08",8° 09.245',41° 05.916'
275,8.39,68,-153,GV Spi,5.60,2d 13h 25' 36",8° 09.300',41° 05.933'
275,8.39,68,-153,GV Spi,5.59,2d 13h 26' 01",8° 09.347',41° 05.947'
275,8.38,68,-153,GV Spi,5.59,2d 13h 26' 10",8° 09.364',41° 05.952'
275,8.37,68,-153,GV Spi,5.59,2d 13h 26' 39",8° 09.419',41° 05.969'
275,8.37,68,-153,GV Spi,5.58,2d 13h 26' 55",8° 09.450',41° 05.979'
275,8.36,68,-153,GV Spi,5.58,2d 13h 27' 08",8° 09.474',41° 05.986'
275,8.35,68,-153,GV Spi,5.58,2d 13h 27' 40",8° 09.536',41° 06.005'
275,8.35,68,-153,GV Spi,5.57,2d 13h 27' 49",8° 09.553',41° 06.010'
275,8.34,68,-153,GV Spi,5.57,2d 13h 28' 09",8° 09.591',41° 06.022'
275,8.33,68,-153,GV Spi,5.57,2d 13h 28' 42",8° 09.654',41° 06.041'
275,8.33,68,-153,GV Spi,5.56,2d 13h 28' 46",8° 09.662',41° 06.043'
275,8.32,68,-153,GV Spi,5.56,2d 13h 29' 11",8° 09.709',41° 06.058'
275,8.32,68,-153,GV Spi,5.55,2d 13h 29' 40",8° 09.764',41° 06.074'
275,8.31,68,-153,GV Spi,5.55,2d 13h 29' 44",8° 09.771',41° 06.077'
275,8.30,68,-153,GV Spi,5.55,2d 13h 30' 13",8° 09.826',41° 06.093'
275,8.30,68,-153,GV Spi,5.54,2d 13h 30' 34",8° 09.866',41° 06.105'
275,8.29,68,-153,GV Spi,5.54,2d 13h 30' 46",8° 09.889',41° 06.112'
275,8.28,68,-153,GV Spi,5.54,2d 13h 31' 15",8° 09.944',41° 06.129'
275,8.28,68,-153,GV Spi,5.53,2d 13h 31' 31",8° 09.975',41° 06.139'
275,8.27,68,-153,GV Spi,5.53,2d 13h 31' 48",8° 10.006',41° 06.148'
274,8.26,68,-154,GV Spi,5.44,2d 13h 32' 17",8° 10.061',41° 06.165'
274,8.26,68,-154,GV Spi,5.43,2d 13h 32' 33",8° 10.092',41° 06.174'
274,8.25,68,-154,GV Spi,5.43,2d 13h 32' 50",8° 10.122',41° 06.183'
