index,w_azi,w_spd,b_rte,w_ang,b_sails,b_spd,chrono,lon,lat,spd_perc,w_ang_a
13171,235,11.67,314,-79,GV Spi,4.08,"6d 03h 46' 07""",7° 47.047',42° 58.426',0.35,78
13172,235,11.67,312,-77,GV Spi,3.55,"6d 03h 46' 09""",7° 47.045',42° 58.427',0.3,77
13173,235,11.67,310,-75,GV Spi,3.03,"6d 03h 46' 12""",7° 47.042',42° 58.428',0.26,75
13174,235,11.67,308,-73,GV Spi,2.33,"6d 03h 46' 14""",7° 47.041',42° 58.429',0.2,73
13175,235,11.67,306,-71,GV Spi,1.64,"6d 03h 46' 16""",7° 47.040',42° 58.430',0.14,71
13176,235,11.67,304,-69,GV Spi,1.04,"6d 03h 46' 19""",7° 47.039',42° 58.430',0.09,69
13177,235,11.67,302,-67,GV Spi,0.52,"6d 03h 46' 21""",7° 47.038',42° 58.430',0.04,67
13178,235,11.67,300,-65,GV Spi,0.0,"6d 03h 46' 23""",7° 47.038',42° 58.430',0.0,64
13244,235,11.67,168,67,GV Spi,0.52,"6d 03h 48' 54""",7° 47.038',42° 58.430',0.04,67
13245,235,11.67,166,69,GV Spi,1.04,"6d 03h 48' 56""",7° 47.039',42° 58.430',0.09,69
13246,235,11.67,164,71,GV Spi,1.64,"6d 03h 48' 58""",7° 47.039',42° 58.428',0.14,71
13247,235,11.67,162,73,GV Spi,2.33,"6d 03h 49' 00""",7° 47.040',42° 58.427',0.2,73
13248,235,11.67,160,75,GV Spi,3.03,"6d 03h 49' 03""",7° 47.041',42° 58.425',0.26,75
13249,235,11.67,158,77,GV Spi,3.55,"6d 03h 49' 05""",7° 47.042',42° 58.423',0.3,77
13250,235,11.67,156,79,GV Spi,4.08,"6d 03h 49' 07""",7° 47.043',42° 58.421',0.35,79
13251,235,11.67,154,81,GV Spi,4.54,"6d 03h 49' 10""",7° 47.045',42° 58.418',0.39,81
13252,235,11.67,152,83,GV Spi,4.94,"6d 03h 49' 12""",7° 47.047',42° 58.416',0.42,83
13253,235,11.67,150,85,GV Spi,5.34,"6d 03h 49' 14""",7° 47.049',42° 58.412',0.46,85
13254,235,11.67,148,87,GV Spi,5.69,"6d 03h 49' 17""",7° 47.052',42° 58.409',0.49,87
13255,235,11.67,146,89,GV Spi,6.05,"6d 03h 49' 19""",7° 47.055',42° 58.406',0.52,89
13256,235,11.67,144,91,GV Spi,6.37,"6d 03h 49' 21""",7° 47.058',42° 58.403',0.55,91
13257,235,11.67,142,93,GV Spi,6.66,"6d 03h 49' 24""",7° 47.062',42° 58.399',0.57,93
13258,235,11.67,140,95,GV Spi,6.94,"6d 03h 49' 26""",7° 47.066',42° 58.396',0.59,95
13259,235,11.67,138,97,GV Spi,7.18,"6d 03h 49' 28""",7° 47.069',42° 58.393',0.62,97
13260,235,11.67,136,99,GV Spi,7.41,"6d 03h 49' 30""",7° 47.074',42° 58.389',0.63,99
13261,235,11.67,134,101,GV Spi,7.61,"6d 03h 49' 33""",7° 47.079',42° 58.386',0.65,101
13262,235,11.67,132,103,GV Spi,7.77,"6d 03h 49' 35""",7° 47.084',42° 58.383',0.67,103
13263,235,11.67,130,105,GV Spi,7.94,"6d 03h 49' 37""",7° 47.088',42° 58.380',0.68,105
13264,235,11.67,128,107,GV Spi,8.06,"6d 03h 49' 39""",7° 47.094',42° 58.377',0.69,107
13265,235,11.67,126,109,GV Spi,8.18,"6d 03h 49' 42""",7° 47.101',42° 58.373',0.7,109
13266,235,11.67,124,111,GV Spi,8.28,"6d 03h 49' 44""",7° 47.106',42° 58.371',0.71,111
13267,235,11.67,122,113,GV Spi,8.35,"6d 03h 49' 46""",7° 47.113',42° 58.368',0.72,113
13268,235,11.67,120,115,GV Spi,8.41,"6d 03h 49' 49""",7° 47.120',42° 58.365',0.72,115
13269,235,11.67,118,117,GV Spi,8.47,"6d 03h 49' 51""",7° 47.125',42° 58.362',0.73,117
13270,235,11.67,116,119,GV Spi,8.52,"6d 03h 49' 53""",7° 47.133',42° 58.360',0.73,119
13271,235,11.67,114,121,GV Spi,8.55,"6d 03h 49' 56""",7° 47.140',42° 58.357',0.73,121
13272,235,11.67,112,123,GV Spi,8.54,"6d 03h 49' 58""",7° 47.146',42° 58.356',0.73,123
13274,235,11.67,108,127,GV Spi,8.53,"6d 03h 50' 02""",7° 47.160',42° 58.352',0.73,127
13275,235,11.66,106,129,GV Spi,8.51,"6d 03h 50' 05""",7° 47.167',42° 58.351',0.73,129
13276,235,11.66,104,131,GV Spi,8.48,"6d 03h 50' 07""",7° 47.174',42° 58.349',0.73,131
13277,235,11.66,102,133,GV Spi,8.44,"6d 03h 50' 09""",7° 47.182',42° 58.348',0.72,133
13278,235,11.66,100,135,GV Spi,8.4,"6d 03h 50' 11""",7° 47.188',42° 58.347',0.72,135
13279,235,11.66,98,137,GV Spi,8.32,"6d 03h 50' 13""",7° 47.194',42° 58.347',0.71,137
13280,235,11.66,96,139,GV Spi,8.25,"6d 03h 50' 16""",7° 47.202',42° 58.346',0.71,139
13281,235,11.66,94,141,GV Spi,8.16,"6d 03h 50' 18""",7° 47.210',42° 58.346',0.7,141
13282,235,11.66,92,143,GV Spi,8.06,"6d 03h 50' 20""",7° 47.216',42° 58.346',0.69,143
13283,235,11.66,90,145,GV Spi,7.95,"6d 03h 50' 23""",7° 47.223',42° 58.346',0.68,145
13284,235,11.66,88,147,GV Spi,7.81,"6d 03h 50' 25""",7° 47.231',42° 58.346',0.67,147
13285,235,11.66,86,149,GV Spi,7.68,"6d 03h 50' 27""",7° 47.237',42° 58.346',0.66,149
13286,235,11.66,84,151,GV Spi,7.52,"6d 03h 50' 30""",7° 47.244',42° 58.347',0.64,151
13287,235,11.66,82,153,GV Spi,7.36,"6d 03h 50' 32""",7° 47.249',42° 58.347',0.63,153
13288,235,11.66,80,155,GV Spi,7.2,"6d 03h 50' 34""",7° 47.256',42° 58.348',0.62,155
13289,235,11.66,78,157,GV Spi,6.98,"6d 03h 50' 37""",7° 47.262',42° 58.349',0.6,157
13290,235,11.66,76,159,GV Spi,6.77,"6d 03h 50' 39""",7° 47.269',42° 58.350',0.58,159
13291,235,11.66,74,161,GV Spi,6.53,"6d 03h 50' 41""",7° 47.273',42° 58.351',0.56,161
13292,235,11.66,72,163,GV Spi,6.24,"6d 03h 50' 44""",7° 47.279',42° 58.353',0.54,163
13293,235,11.66,70,165,GV Spi,5.96,"6d 03h 50' 46""",7° 47.283',42° 58.354',0.51,165
13294,235,11.66,68,167,GV Spi,5.62,"6d 03h 50' 48""",7° 47.288',42° 58.355',0.48,167
13295,235,11.66,66,169,GV Spi,5.27,"6d 03h 50' 51""",7° 47.293',42° 58.357',0.45,169
13296,235,11.66,64,171,GV Spi,4.91,"6d 03h 50' 53""",7° 47.296',42° 58.358',0.42,170
13297,235,11.66,62,173,GV Spi,4.56,"6d 03h 50' 55""",7° 47.300',42° 58.359',0.39,172
13298,235,11.66,60,175,GV Spi,4.2,"6d 03h 50' 58""",7° 47.304',42° 58.361',0.36,175
13299,235,11.66,58,177,GV Spi,3.82,"6d 03h 51' 00""",7° 47.306',42° 58.362',0.33,176
13300,235,11.66,56,179,GV Spi,3.44,"6d 03h 51' 02""",7° 47.309',42° 58.363',0.3,179
13333,243,13.69,358,-115,GV 3 Foc 3,0.0,"6d 04h 01' 39""",7° 47.892',42° 58.662',0.0,115
13513,243,13.69,358,-115,GV 2 Foc 2,3.41,"6d 04h 08' 28""",7° 47.914',42° 58.703',0.25,115
13514,243,13.69,356,-113,GV 2 Foc 2,3.43,"6d 04h 08' 30""",7° 47.914',42° 58.705',0.25,113
13515,243,13.69,354,-111,GV 2 Foc 2,3.46,"6d 04h 08' 32""",7° 47.914',42° 58.707',0.25,111
13516,243,13.69,352,-109,GV 2 Foc 2,3.49,"6d 04h 08' 35""",7° 47.914',42° 58.710',0.25,109
13517,243,13.69,350,-107,GV 2 Foc 2,3.51,"6d 04h 08' 37""",7° 47.913',42° 58.711',0.26,107
13518,243,13.69,348,-105,GV 2 Foc 2,3.53,"6d 04h 08' 39""",7° 47.912',42° 58.714',0.26,105
13519,243,13.69,346,-103,GV 2 Foc 2,3.55,"6d 04h 08' 42""",7° 47.912',42° 58.716',0.26,103
13520,243,13.69,344,-101,GV 2 Foc 2,3.56,"6d 04h 08' 44""",7° 47.911',42° 58.718',0.26,100
13521,243,13.69,342,-99,GV 2 Foc 2,3.58,"6d 04h 08' 46""",7° 47.910',42° 58.721',0.26,99
13522,243,13.69,340,-97,GV 2 Foc 2,3.59,"6d 04h 08' 49""",7° 47.909',42° 58.723',0.26,96
13523,243,13.69,338,-95,GV 2 Foc 2,3.6,"6d 04h 08' 51""",7° 47.908',42° 58.725',0.26,95
13524,243,13.69,336,-93,GV 2 Foc 2,3.59,"6d 04h 08' 53""",7° 47.906',42° 58.727',0.26,93
13525,243,13.69,334,-91,GV 2 Foc 2,3.58,"6d 04h 08' 55""",7° 47.905',42° 58.729',0.26,91
13526,243,13.69,332,-89,GV 2 Foc 2,3.57,"6d 04h 08' 58""",7° 47.903',42° 58.731',0.26,89
13527,243,13.69,330,-87,GV 2 Foc 2,3.56,"6d 04h 09' 00""",7° 47.902',42° 58.733',0.26,87
13529,243,13.69,326,-83,GV 2 Foc 2,3.55,"6d 04h 09' 05""",7° 47.898',42° 58.737',0.26,82
13530,243,13.69,324,-81,GV 2 Foc 2,3.53,"6d 04h 09' 07""",7° 47.896',42° 58.739',0.26,81
13531,243,13.69,322,-79,GV 2 Foc 2,3.52,"6d 04h 09' 09""",7° 47.895',42° 58.740',0.26,78
13532,243,13.69,320,-77,GV 2 Foc 2,3.51,"6d 04h 09' 11""",7° 47.893',42° 58.742',0.26,77
13533,243,13.69,318,-75,GV 2 Foc 2,3.5,"6d 04h 09' 14""",7° 47.891',42° 58.744',0.26,75
13534,243,13.69,316,-73,GV 2 Foc 2,3.47,"6d 04h 09' 16""",7° 47.889',42° 58.745',0.25,73
13535,243,13.69,314,-71,GV 2 Foc 2,3.44,"6d 04h 09' 18""",7° 47.887',42° 58.747',0.25,71
13536,243,13.69,312,-69,GV 2 Foc 2,3.41,"6d 04h 09' 20""",7° 47.885',42° 58.748',0.25,69
13537,243,13.69,310,-67,GV 2 Foc 2,3.38,"6d 04h 09' 23""",7° 47.882',42° 58.750',0.25,67
13538,243,13.69,308,-65,GV 2 Foc 2,3.36,"6d 04h 09' 25""",7° 47.880',42° 58.751',0.25,64
13539,243,13.69,306,-63,GV 2 Foc 2,3.3,"6d 04h 09' 27""",7° 47.878',42° 58.752',0.24,63
13540,243,13.69,304,-61,GV 2 Foc 2,3.24,"6d 04h 09' 29""",7° 47.876',42° 58.753',0.24,60
13541,243,13.69,302,-59,GV 2 Foc 2,3.18,"6d 04h 09' 31""",7° 47.874',42° 58.754',0.23,59
13542,243,13.69,300,-57,GV 2 Foc 2,3.13,"6d 04h 09' 34""",7° 47.871',42° 58.755',0.23,57
13543,243,13.69,298,-55,GV 2 Foc 2,3.07,"6d 04h 09' 36""",7° 47.869',42° 58.756',0.22,55
13544,243,13.69,296,-53,GV 2 Foc 2,2.98,"6d 04h 09' 38""",7° 47.866',42° 58.757',0.22,53
13545,243,13.69,294,-51,GV 2 Foc 2,2.9,"6d 04h 09' 41""",7° 47.864',42° 58.758',0.21,50
13546,243,13.69,292,-49,GV 2 Foc 2,2.81,"6d 04h 09' 43""",7° 47.862',42° 58.758',0.21,49
13547,243,13.69,290,-47,GV 2 Foc 2,2.73,"6d 04h 09' 45""",7° 47.860',42° 58.759',0.2,46
13548,243,13.69,288,-45,GV 2 Foc 2,2.64,"6d 04h 09' 48""",7° 47.857',42° 58.759',0.19,45
13549,243,13.69,286,-43,GV 2 Foc 2,2.53,"6d 04h 09' 50""",7° 47.855',42° 58.760',0.18,42
13550,243,13.69,284,-41,GV 2 Foc 2,2.41,"6d 04h 09' 52""",7° 47.854',42° 58.760',0.18,41
13551,243,13.69,282,-39,GV 2 Foc 2,2.29,"6d 04h 09' 54""",7° 47.851',42° 58.760',0.17,39
13552,243,13.69,280,-37,GV 2 Foc 2,2.16,"6d 04h 09' 56""",7° 47.850',42° 58.761',0.16,37
13553,243,13.69,278,-35,GV 2 Foc 2,2.04,"6d 04h 09' 59""",7° 47.848',42° 58.761',0.15,35
13554,243,13.69,276,-33,GV 2 Foc 2,1.86,"6d 04h 10' 01""",7° 47.846',42° 58.761',0.14,33
13555,243,13.69,274,-31,GV 2 Foc 2,1.69,"6d 04h 10' 03""",7° 47.845',42° 58.761',0.12,31
13556,243,13.69,272,-29,GV 2 Foc 2,1.51,"6d 04h 10' 05""",7° 47.844',42° 58.761',0.11,28
13557,243,13.69,270,-27,GV 2 Foc 2,1.33,"6d 04h 10' 07""",7° 47.843',42° 58.761',0.1,27
13558,243,13.69,268,-25,GV 2 Foc 2,1.14,"6d 04h 10' 10""",7° 47.842',42° 58.761',0.08,24
13559,243,13.69,266,-23,GV 2 Foc 2,0.97,"6d 04h 10' 12""",7° 47.841',42° 58.761',0.07,23
13560,243,13.69,264,-21,GV 2 Foc 2,0.8,"6d 04h 10' 14""",7° 47.840',42° 58.761',0.06,21
13561,243,13.69,262,-19,GV 2 Foc 2,0.64,"6d 04h 10' 16""",7° 47.840',42° 58.761',0.05,18
13562,243,13.69,260,-17,GV 2 Foc 2,0.5,"6d 04h 10' 19""",7° 47.839',42° 58.761',0.04,17
13563,243,13.69,258,-15,GV 2 Foc 2,0.36,"6d 04h 10' 21""",7° 47.839',42° 58.761',0.03,14
13564,243,13.69,256,-13,GV 2 Foc 2,0.27,"6d 04h 10' 23""",7° 47.839',42° 58.761',0.02,13
13565,243,13.69,254,-11,GV 2 Foc 2,0.19,"6d 04h 10' 25""",7° 47.839',42° 58.761',0.01,10
13566,243,13.69,252,-9,GV 2 Foc 2,0.13,"6d 04h 10' 27""",7° 47.838',42° 58.761',0.01,9
13567,243,13.69,250,-7,GV 2 Foc 2,0.1,"6d 04h 10' 30""",7° 47.838',42° 58.761',0.01,6
13568,243,13.69,248,-5,GV 2 Foc 2,0.07,"6d 04h 10' 32""",7° 47.838',42° 58.761',0.01,4
13569,243,13.69,246,-3,GV 2 Foc 2,0.04,"6d 04h 10' 34""",7° 47.838',42° 58.761',0.0,3
13570,243,13.69,244,-1,GV 2 Foc 2,0.01,"6d 04h 10' 37""",7° 47.838',42° 58.761',0.0,0
13572,243,13.69,240,3,GV 2 Foc 2,0.04,"6d 04h 10' 41""",7° 47.838',42° 58.761',0.0,3
13573,243,13.69,238,5,GV 2 Foc 2,0.07,"6d 04h 10' 43""",7° 47.838',42° 58.761',0.01,4
13574,243,13.69,236,7,GV 2 Foc 2,0.1,"6d 04h 10' 46""",7° 47.838',42° 58.761',0.01,7
13575,243,13.69,234,9,GV 2 Foc 2,0.13,"6d 04h 10' 48""",7° 47.838',42° 58.760',0.01,8
13576,243,13.69,232,11,GV 2 Foc 2,0.19,"6d 04h 10' 50""",7° 47.838',42° 58.760',0.01,10
13577,243,13.69,230,13,GV 2 Foc 2,0.27,"6d 04h 10' 53""",7° 47.838',42° 58.760',0.02,12
13578,243,13.69,228,15,GV 2 Foc 2,0.36,"6d 04h 10' 55""",7° 47.837',42° 58.760',0.03,14
13579,243,13.69,226,17,GV 2 Foc 2,0.5,"6d 04h 10' 57""",7° 47.837',42° 58.760',0.04,17
13580,243,13.69,224,19,GV 2 Foc 2,0.64,"6d 04h 10' 59""",7° 47.837',42° 58.760',0.05,18
13581,243,13.69,222,21,GV 2 Foc 2,0.8,"6d 04h 11' 02""",7° 47.836',42° 58.759',0.06,21
13582,243,13.69,220,23,GV 2 Foc 2,0.97,"6d 04h 11' 04""",7° 47.836',42° 58.759',0.07,22
13583,243,13.69,218,25,GV 2 Foc 2,1.14,"6d 04h 11' 06""",7° 47.835',42° 58.758',0.08,25
13584,243,13.69,216,27,GV 2 Foc 2,1.33,"6d 04h 11' 08""",7° 47.835',42° 58.758',0.1,26
13585,243,13.69,214,29,GV 2 Foc 2,1.51,"6d 04h 11' 10""",7° 47.834',42° 58.757',0.11,29
13586,243,13.69,212,31,GV 2 Foc 2,1.69,"6d 04h 11' 13""",7° 47.833',42° 58.756',0.12,30
13587,243,13.69,210,33,GV 2 Foc 2,1.86,"6d 04h 11' 15""",7° 47.832',42° 58.755',0.14,33
13588,243,13.69,208,35,GV 2 Foc 2,2.04,"6d 04h 11' 17""",7° 47.831',42° 58.754',0.15,35
13589,243,13.69,206,37,GV 2 Foc 2,2.16,"6d 04h 11' 20""",7° 47.831',42° 58.752',0.16,37
13590,243,13.69,204,39,GV 2 Foc 2,2.29,"6d 04h 11' 22""",7° 47.830',42° 58.751',0.17,39
13591,243,13.69,202,41,GV 2 Foc 2,2.41,"6d 04h 11' 24""",7° 47.829',42° 58.750',0.18,41
13592,243,13.69,200,43,GV 2 Foc 2,2.53,"6d 04h 11' 27""",7° 47.828',42° 58.748',0.18,43
13593,243,13.69,198,45,GV 2 Foc 2,2.64,"6d 04h 11' 29""",7° 47.828',42° 58.747',0.19,45
13594,243,13.69,196,47,GV 2 Foc 2,2.73,"6d 04h 11' 31""",7° 47.827',42° 58.745',0.2,47
13595,243,13.69,194,49,GV 2 Foc 2,2.81,"6d 04h 11' 33""",7° 47.826',42° 58.743',0.21,49
13596,243,13.69,192,51,GV 2 Foc 2,2.9,"6d 04h 11' 35""",7° 47.826',42° 58.742',0.21,50
13597,243,13.69,190,53,GV 2 Foc 2,2.99,"6d 04h 11' 37""",7° 47.825',42° 58.740',0.22,52
13598,243,13.69,188,55,GV 2 Foc 2,3.07,"6d 04h 11' 40""",7° 47.825',42° 58.738',0.22,54
13599,243,13.69,186,57,GV 2 Foc 2,3.13,"6d 04h 11' 42""",7° 47.825',42° 58.736',0.23,57
13600,243,13.69,184,59,GV 2 Foc 2,3.19,"6d 04h 11' 44""",7° 47.825',42° 58.734',0.23,59
13601,243,13.69,182,61,GV 2 Foc 2,3.24,"6d 04h 11' 46""",7° 47.824',42° 58.732',0.24,61
13602,243,13.69,180,63,GV 2 Foc 2,3.3,"6d 04h 11' 49""",7° 47.824',42° 58.730',0.24,63
13603,243,13.69,178,65,GV 2 Foc 2,3.36,"6d 04h 11' 51""",7° 47.825',42° 58.728',0.25,65
13604,243,13.69,176,67,GV 2 Foc 2,3.39,"6d 04h 11' 53""",7° 47.825',42° 58.726',0.25,67
13605,243,13.69,174,69,GV 2 Foc 2,3.41,"6d 04h 11' 55""",7° 47.825',42° 58.724',0.25,69
13606,243,13.69,172,71,GV 2 Foc 2,3.44,"6d 04h 11' 57""",7° 47.825',42° 58.722',0.25,71
13607,243,13.69,170,73,GV 2 Foc 2,3.48,"6d 04h 12' 00""",7° 47.826',42° 58.720',0.25,73
13608,243,13.69,168,75,GV 2 Foc 2,3.51,"6d 04h 12' 02""",7° 47.827',42° 58.717',0.26,75
13609,243,13.69,166,77,GV 2 Foc 2,3.52,"6d 04h 12' 04""",7° 47.827',42° 58.715',0.26,77
13610,243,13.69,164,79,GV 2 Foc 2,3.53,"6d 04h 12' 06""",7° 47.828',42° 58.713',0.26,79
13611,243,13.69,162,81,GV 2 Foc 2,3.54,"6d 04h 12' 09""",7° 47.829',42° 58.711',0.26,81
13612,243,13.69,160,83,GV 2 Foc 2,3.55,"6d 04h 12' 11""",7° 47.830',42° 58.709',0.26,83
13613,243,13.69,158,85,GV 2 Foc 2,3.56,"6d 04h 12' 13""",7° 47.831',42° 58.707',0.26,85
13615,243,13.69,154,89,GV 2 Foc 2,3.57,"6d 04h 12' 18""",7° 47.834',42° 58.703',0.26,89
13616,243,13.69,152,91,GV 2 Foc 2,3.58,"6d 04h 12' 20""",7° 47.835',42° 58.701',0.26,91
13617,243,13.69,150,93,GV 2 Foc 2,3.59,"6d 04h 12' 22""",7° 47.837',42° 58.699',0.26,93
13618,243,13.69,148,95,GV 2 Foc 2,3.61,"6d 04h 12' 25""",7° 47.839',42° 58.697',0.26,95
13619,243,13.69,146,97,GV 2 Foc 2,3.59,"6d 04h 12' 27""",7° 47.840',42° 58.695',0.26,97
13620,243,13.69,144,99,GV 2 Foc 2,3.58,"6d 04h 12' 29""",7° 47.842',42° 58.693',0.26,99
13621,243,13.69,142,101,GV 2 Foc 2,3.56,"6d 04h 12' 32""",7° 47.844',42° 58.691',0.26,101
13622,243,13.69,140,103,GV 2 Foc 2,3.55,"6d 04h 12' 34""",7° 47.846',42° 58.690',0.26,103
13623,243,13.69,138,105,GV 2 Foc 2,3.54,"6d 04h 12' 36""",7° 47.848',42° 58.688',0.26,105
13624,243,13.69,136,107,GV 2 Foc 2,3.51,"6d 04h 12' 38""",7° 47.850',42° 58.686',0.26,107
13625,243,13.69,134,109,GV 2 Foc 2,3.49,"6d 04h 12' 41""",7° 47.852',42° 58.685',0.25,109
13626,243,13.69,132,111,GV 2 Foc 2,3.47,"6d 04h 12' 43""",7° 47.854',42° 58.684',0.25,111
13627,243,13.69,130,113,GV 2 Foc 2,3.44,"6d 04h 12' 45""",7° 47.857',42° 58.682',0.25,113
13628,243,13.69,128,115,GV 2 Foc 2,3.41,"6d 04h 12' 48""",7° 47.859',42° 58.681',0.25,115
13629,243,13.69,126,117,GV 2 Foc 2,3.38,"6d 04h 12' 50""",7° 47.861',42° 58.679',0.25,117
13630,243,13.69,124,119,GV 2 Foc 2,3.35,"6d 04h 12' 52""",7° 47.864',42° 58.678',0.24,119
13631,243,13.69,122,121,GV 2 Foc 2,3.31,"6d 04h 12' 54""",7° 47.866',42° 58.677',0.24,121
13632,243,13.69,120,123,GV 2 Foc 2,3.26,"6d 04h 12' 57""",7° 47.869',42° 58.676',0.24,123
13633,243,13.69,118,125,GV 2 Foc 2,3.21,"6d 04h 12' 59""",7° 47.871',42° 58.675',0.23,125
13634,243,13.69,116,127,GV 2 Foc 2,3.16,"6d 04h 13' 01""",7° 47.874',42° 58.674',0.23,127
13635,243,13.69,114,129,GV 2 Foc 2,3.11,"6d 04h 13' 04""",7° 47.876',42° 58.673',0.23,129
13636,243,13.69,112,131,GV 2 Foc 2,3.06,"6d 04h 13' 06""",7° 47.879',42° 58.673',0.22,131
13637,243,13.69,110,133,GV 2 Foc 2,3.0,"6d 04h 13' 08""",7° 47.881',42° 58.672',0.22,133
13638,243,13.69,108,135,GV 2 Foc 2,2.95,"6d 04h 13' 11""",7° 47.884',42° 58.671',0.22,135
13639,243,13.69,106,137,GV 2 Foc 2,2.87,"6d 04h 13' 13""",7° 47.886',42° 58.671',0.21,137
13640,243,13.69,104,139,GV 2 Foc 2,2.8,"6d 04h 13' 15""",7° 47.889',42° 58.670',0.2,139
13641,243,13.69,102,141,GV 2 Foc 2,2.72,"6d 04h 13' 17""",7° 47.891',42° 58.670',0.2,141
13642,243,13.69,100,143,GV 2 Foc 2,2.64,"6d 04h 13' 20""",7° 47.893',42° 58.670',0.19,143
13643,243,13.69,98,145,GV 2 Foc 2,2.55,"6d 04h 13' 22""",7° 47.896',42° 58.670',0.19,145
13644,243,13.69,96,147,GV 2 Foc 2,2.44,"6d 04h 13' 24""",7° 47.897',42° 58.669',0.18,147
13645,243,13.69,94,149,GV 2 Foc 2,2.34,"6d 04h 13' 27""",7° 47.900',42° 58.669',0.17,149
13646,243,13.69,92,151,GV 2 Foc 2,2.23,"6d 04h 13' 29""",7° 47.901',42° 58.669',0.16,151
13647,243,13.69,90,153,GV 2 Foc 2,2.11,"6d 04h 13' 31""",7° 47.903',42° 58.669',0.15,153
13648,243,13.69,88,155,GV 2 Foc 2,2.0,"6d 04h 13' 33""",7° 47.905',42° 58.669',0.15,155
13649,243,13.69,86,157,GV 2 Foc 2,1.86,"6d 04h 13' 36""",7° 47.907',42° 58.669',0.14,157
13650,243,13.69,84,159,GV 2 Foc 2,1.71,"6d 04h 13' 38""",7° 47.908',42° 58.669',0.12,159
13651,243,13.69,82,161,GV 2 Foc 2,1.57,"6d 04h 13' 41""",7° 47.910',42° 58.670',0.11,161
13652,243,13.69,80,163,GV 2 Foc 2,1.43,"6d 04h 13' 43""",7° 47.911',42° 58.670',0.1,163
13653,243,13.69,78,165,GV 2 Foc 2,1.28,"6d 04h 13' 45""",7° 47.912',42° 58.670',0.09,165
13654,243,13.69,76,167,GV 2 Foc 2,1.14,"6d 04h 13' 47""",7° 47.913',42° 58.670',0.08,167
13655,243,13.69,74,169,GV 2 Foc 2,1.0,"6d 04h 13' 50""",7° 47.914',42° 58.670',0.07,169
13656,243,13.69,72,171,GV 2 Foc 2,0.86,"6d 04h 13' 52""",7° 47.914',42° 58.670',0.06,170
13657,243,13.69,70,173,GV 2 Foc 2,0.71,"6d 04h 13' 54""",7° 47.915',42° 58.671',0.05,172
13658,243,13.69,68,175,GV 2 Foc 2,0.57,"6d 04h 13' 57""",7° 47.915',42° 58.671',0.04,175
13659,243,13.69,66,177,GV 2 Foc 2,0.43,"6d 04h 13' 59""",7° 47.916',42° 58.671',0.03,176
13660,243,13.69,64,179,GV 2 Foc 2,0.29,"6d 04h 14' 01""",7° 47.916',42° 58.671',0.02,179
13693,243,13.68,358,-115,GV 1 Foc 1,6.78,"6d 04h 15' 17""",7° 47.965',42° 58.757',0.5,115
13694,243,13.68,356,-113,GV 1 Foc 1,6.8,"6d 04h 15' 19""",7° 47.965',42° 58.761',0.5,113
13695,243,13.68,354,-111,GV 1 Foc 1,6.82,"6d 04h 15' 21""",7° 47.964',42° 58.765',0.5,111
13699,243,13.68,346,-103,GV 1 Foc 1,6.81,"6d 04h 15' 30""",7° 47.960',42° 58.783',0.5,103
13700,243,13.68,344,-101,GV 1 Foc 1,6.8,"6d 04h 15' 32""",7° 47.958',42° 58.786',0.5,100
13701,243,13.68,342,-99,GV 1 Foc 1,6.79,"6d 04h 15' 35""",7° 47.956',42° 58.791',0.5,99
13702,243,13.68,340,-97,GV 1 Foc 1,6.78,"6d 04h 15' 37""",7° 47.955',42° 58.795',0.5,96
13704,243,13.68,336,-93,GV 1 Foc 1,6.76,"6d 04h 15' 41""",7° 47.949',42° 58.803',0.49,93
13705,243,13.68,334,-91,GV 1 Foc 1,6.74,"6d 04h 15' 44""",7° 47.947',42° 58.807',0.49,91
13706,243,13.68,332,-89,GV 1 Foc 1,6.71,"6d 04h 15' 46""",7° 47.945',42° 58.810',0.49,89
13707,243,13.68,330,-87,GV 1 Foc 1,6.68,"6d 04h 15' 48""",7° 47.942',42° 58.813',0.49,87
13708,243,13.68,328,-85,GV 1 Foc 1,6.65,"6d 04h 15' 51""",7° 47.939',42° 58.817',0.49,85
13709,243,13.68,326,-83,GV 1 Foc 1,6.62,"6d 04h 15' 53""",7° 47.936',42° 58.820',0.48,82
13710,243,13.68,324,-81,GV 1 Foc 1,6.59,"6d 04h 15' 55""",7° 47.932',42° 58.824',0.48,81
13711,243,13.68,322,-79,GV 1 Foc 1,6.56,"6d 04h 15' 57""",7° 47.929',42° 58.827',0.48,78
13712,243,13.68,320,-77,GV 1 Foc 1,6.52,"6d 04h 16' 00""",7° 47.925',42° 58.831',0.48,77
13713,243,13.68,318,-75,GV 1 Foc 1,6.49,"6d 04h 16' 02""",7° 47.922',42° 58.833',0.47,75
13714,243,13.69,316,-73,GV 1 Foc 1,6.45,"6d 04h 16' 04""",7° 47.918',42° 58.836',0.47,73
13715,243,13.69,314,-71,GV 1 Foc 1,6.41,"6d 04h 16' 07""",7° 47.913',42° 58.840',0.47,71
13716,243,13.69,312,-69,GV 1 Foc 1,6.36,"6d 04h 16' 09""",7° 47.909',42° 58.843',0.46,69
13717,243,13.69,310,-67,GV 1 Foc 1,6.3,"6d 04h 16' 11""",7° 47.905',42° 58.845',0.46,67
13718,243,13.69,308,-65,GV 1 Foc 1,6.25,"6d 04h 16' 14""",7° 47.900',42° 58.848',0.46,64
